ln_output1802_all,hugue_1700_pc,poploss_keyser,ln_workers1802_all,ln_looms1802_all,mi_ln_input1802_all,no_looms,ln_popcity1802,vieh1816_schaf_ganz_veredelt_pc,pop1816_prot_pc,no_hugue_possible,imputed_dummy,textil_1680_dummy
7.185387135,0,NA,3.135494232,-0.693147182,6.779922009,1,7.842671394,0.010606061,0.036255412,1,0,0
5.613128185,0,NA,0.693147182,-0.693147182,5.204006672,1,7.842671394,0.010606061,0.036255412,1,0,0
7.875879288,0,NA,2.397895336,2.251291752,7.470223904,0,7.78280735,0.01061458,0.202836886,1,0,0
7.20340538,0,NA,2.302585125,2.351375341,6.797940254,0,7.78280735,0.01061458,0.202836886,1,0,0
4.330733299,0,NA,0,-0.693147182,3.912023067,1,7.78280735,0.01061458,0.202836886,1,0,0
4.465908051,0,NA,0,-0.693147182,4.060442924,1,7.709756851,0.01061458,0.070750237,1,0,0
6.206575871,0,NA,1.609437943,-0.693147182,5.79909277,1,7.709756851,0.01061458,0.070750237,1,0,0
6.364750862,0,NA,1.098612309,1.252762914,5.958424568,0,7.709756851,0.01061458,0.070750237,1,0,0
4.60517025,0,NA,0,-0.693147182,4.189654827,1,7.281385899,0.01061458,0.131007239,1,0,0
6.253829002,0,NA,2.484906673,-0.693147182,5.846438885,1,7.281385899,0.01061458,0.131007239,1,0,0
7.832014084,0,NA,2.484906673,2.251291752,7.426548958,0,7.281385899,0.01061458,0.131007239,1,0,0
6.366470337,0,NA,1.609437943,-0.693147182,5.961005211,1,7.382124424,0.01061458,0.118929632,1,0,0
4.890348911,0,NA,0,-0.693147182,4.477336884,1,7.382124424,0.01061458,0.118929632,1,0,0
5.863631248,0,NA,1.098612309,1.252762914,5.455321312,0,7.382124424,0.01061458,0.118929632,1,0,0
6.700731277,0,NA,1.609437943,1.704748034,6.295266151,0,7.607878208,0.01063514,0.120307989,1,0,0
5.811141014,0,NA,1.609437943,-0.693147182,5.402677536,1,7.607878208,0.01063514,0.120307989,1,0,0
6.086774826,0,NA,1.386294365,-0.693147182,5.393627644,1,7.247792721,6.35E-05,0.946859896,0,0,0
9.928229332,0,NA,4.820281506,3.960813284,9.259130478,0,7.247792721,6.35E-05,0.946859896,0,0,0
6.109247684,0,NA,2.484906673,-0.693147182,5.59842205,1,7.45472002,8.13E-05,0.916666687,0,0,0
7.160068989,0,NA,3.583518982,2.67414856,6.570882797,0,7.45472002,8.13E-05,0.916666687,0,0,0
