chng_lib,prop_3km,avg_pwr_log,longitude,latitude,ed_id,mindistlake,mindistlake_sq
0.004907417999999997,1,6.013035218336074,-80.30511817,44.38162656,10,16.37485567,268.13589821333113
0.097222222,1,5.833166110551716,-80.42474242,44.33820818,10,22.92059855,525.3538378902622
-0.016135972999999998,1,5.920465199708174,-80.37660986,44.33293297,10,22.45669409,504.3031094518409
-0.095776164,1,5.954004083805516,-80.30467223,44.33471285,10,20.87414297,435.72984473200046
0.03504928800000001,1,5.945787033611329,-80.28640941,44.27735746,10,25.66778547,658.835210933943
0.18252026999999998,1,5.676109759300688,-80.69987987,44.25976051,10,39.38804874,1551.4183835446158
0.139924233,1,5.802674112165435,-80.47163115,44.25358127,10,33.04123871,1091.7234554912027
0.05900223800000001,1,5.833092888135665,-80.38268863,44.26287435,10,30.21566636,912.9864935788356
0.098640777,1,5.622691717971113,-80.76494765,44.19907414,10,45.9231945,2108.9397930848304
0.084990958,1,5.669042640685593,-80.67604376,44.1953187,10,44.93248907,2018.9285740256696
0.116489874,1,5.728595405211328,-80.61708864,44.22790033,10,39.82853083,1586.3118680762605
0.21553884699999998,1,5.581317244615599,-80.77461189,44.16972422,10,48.83660404,2385.0138941597443
0.149736842,1,5.6913454545525175,-80.52028824,44.15718008,10,44.44042408,1974.951292410244
0.09668449199999998,1,5.563339633855647,-80.75012646,44.12671932,10,53.96975512,2912.734467712766
0.11897636600000003,1,5.638155361216975,-80.65454852,44.12435953,10,51.65761296,2668.50897672516
-0.330600119,1,5.808028369354819,-81.94835189,42.51035198,14,17.39721288,302.66301599203797
-0.257890295,1,6.04863615530533,-81.73032835,42.48646639,14,4.028334707,16.227480511620776
-0.206142728,1,5.8340033937047835,-82.07798643,42.47065812,14,23.37515361,546.3978062910961
-0.210220154,1,5.868615890329926,-82.00925314,42.4705921,14,19.13556655,366.1699071894789
-0.24599268900000004,1,6.112169975079847,-81.77890861,42.45494558,14,3.701718727,13.7027215338225
-0.33091191499999995,1,5.99140454530791,-81.90461779,42.44216597,14,10.06213299,101.24652030844635
-0.334735577,1,6.045926690386295,-81.90081584,42.43801125,14,9.559848852,91.39071007308571
-0.12721088399999997,1,6.062141998892455,-81.88766155,42.44176357,14,8.823386109,77.85214242849415
-0.292040977,1,6.043874342975723,-81.88726054,42.43685461,14,8.523520094,72.65039479282177
-0.319856296,1,6.038767892223849,-81.88481508,42.45032202,14,9.115835741,83.09846125689302
-0.3728191,1,6.08178731040126,-81.87941343,42.43995505,14,8.131868549,66.12728609821536
-0.388630491,1,6.067357888826263,-81.87921074,42.43517995,14,7.853571104,61.678579085583785
-0.311383929,1,6.077428917844474,-81.87796914,42.43551251,14,7.78285898,60.57289390256665
-0.39943099699999995,1,6.052627847340555,-81.87030958,42.44221131,14,7.617931399,58.03287879987009
-0.31898775,1,5.975086150436663,-81.89194051,42.42759536,14,8.347933593,69.6879952731379
-0.371620971,1,6.0280037836988924,-81.88230694,42.43156428,14,7.875958626,62.03072427846381
-0.135692788,1,5.929948121502733,-82.07290375,42.41500767,14,17.15746708,294.3786766012837
-0.21739772599999999,1,6.206469066176833,-81.81298491,42.40845609,14,1.624462961,2.638879911660888
-0.22531547600000007,1,5.967730100330101,-82.13254779,42.38795911,14,15.28730577,233.7017177054753
-0.03689806100000004,1,6.024698626073308,-81.97490851,42.39332015,14,11.94460546,142.6735995950618
-0.19055748900000002,1,6.012014444148174,-82.19906318,42.37559824,14,16.45356111,270.7196732005044
-0.256366723,1,6.032867972564506,-82.18331705,42.37454045,14,15.64299368,244.70325127251994
-0.19884700700000008,1,6.032107325569998,-82.17304326,42.36858932,14,14.6382612,214.27869095942546
-0.14385854800000003,1,6.059153568952297,-82.06561807,42.36064609,14,11.07521638,122.66041786382031
-0.21712023800000002,1,6.21166978580665,-81.84299978,42.36169378,14,1.960288768,3.8427320539469583
-0.29526817400000005,1,6.020557221311254,-82.23496528,42.35329111,14,14.87515637,221.27027703195157
-0.22278037399999995,1,6.059148896186113,-82.00306489,42.34322556,14,8.856821519,78.44328741942148
-0.19471139799999998,1,5.908775632983081,-81.9993043,42.33824891,14,8.237934199,67.86355986705377
-0.22169996100000006,1,5.869381655305767,-81.99420349,42.34097136,14,8.186946969,67.02610067321828
-0.07628188899999999,1,5.907759516308501,-81.9889721,42.33898627,14,7.743105945,59.95568967549434
-0.24491600399999996,1,5.907525717733065,-81.98810519,42.33923403,14,7.720916762,59.61255564573256
-0.276929759,1,5.995130319945163,-82.30030731,42.34147948,14,10.14399122,102.90055787143709
-0.136842105,1,6.098725755304783,-82.12302635,42.32650218,14,8.593388145,73.84631981062655
-0.18904109599999996,1,6.0798897158895135,-82.01038773,42.33042932,14,7.598174083,57.73224939557289
-0.20304443100000003,1,6.036805913863649,-82.00432617,42.32545478,14,7.031949704,49.448316639585684
-0.06666666699999996,1,5.896901088438024,-82.00181795,42.33215972,14,7.774591454,60.44427227660984
-0.26990222300000005,1,5.994163401920792,-82.00033819,42.32724493,14,7.223858517,52.18413187363344
-0.21144362599999997,1,5.914583502772024,-81.99775,42.33050752,14,7.536731781,56.802325938735436
-0.08302857899999999,1,5.861427043737716,-81.99586413,42.33697698,14,7.940563831,63.052553954185406
-0.149659863,1,6.014746408959755,-81.99341594,42.33077841,14,7.300224935,53.29328410159576
-0.22089117800000002,1,5.946678978830222,-81.99065891,42.33553702,14,7.534689389,56.7715441887092
-0.195199323,1,6.143232390233447,-81.96016399,42.33563897,14,6.030929484,36.3721104409805
